avga	切开
avhw	切齿
awaf	蓓蕾
awar	茷
aweb	芿
awfc	荟
awnd	葔
awny	花心
awqc	花色
awwf	莝
bdep	承受
bdap	承蒙
bdep	随
bmpy	出神
bmoy	出炉
bmpy	聘礼
bmoy	粜
bpfq	院
cwyn	难忘
ddaq	大葱
ddif	大汗
ddiy	大浪
ddod	厌烦
deth	髼
dfeb	鄏
dffd	厓
dfrq	压抑
dfwq	奢侈
dfwg	压倒
dfwq	压低
dgbb	石子
dgqn	矹
dgwh	研修
dgwt	感伤
dhjg	存量
dhug	艳羡
didt	耰
dkrk	厅
dmdj	顨
dmwf	面值
dpwy	确
dttd	磿
dtuq	邦交
dynn	砨
eemw	豽
eepw	貁
egxt	悬疑
eqyy	肑
fbxg	壣
fgag	干戈
fgdd	博大
fgrh	干掉
fhfk	赶
fhfh	矗
fhfk	趌
fitf	厘
fitw	斄
fnaf	寿
fnca	韧劲
fnep	逺
fpxe	专案组
fqnn	垉
fqny	无尽
fqpy	无视
fqny	无心
fqyi	朮
fthw	老龄
ftlt	才略
ftuq	老将
fudf	增压
fudh	幸存
fudf	堘
fuuq	增资
gaif	刑法
gasf	开票
gawo	鳽
gdyg	不在话下
gehx	喸
gggm	一再
ggkm	瓎
gglg	王国
ggnf	开天辟地
ggth	王牌
ggtm	一向
gguj	五音
ggww	五谷
ggyn	一刻
ghng	亘
ghxn	玼
gini	不屑
gkgj	整理
gkgy	彧
gkun	毭
gmdg	再三
gmuk	责问
gmuq	再次
gmwu	两倍
gmyn	现房
gqfm	殰
gqjv	姴
gugt	一问一答
gujq	璄
gwyn	玪
gxpy	一纸空文
gxub	素闻
gxuq	素净
gxub	毒瘾
gxuq	毒瘤
gxyy	互谅
gdtg	天生
gdwg	天使
gdtg	天籁
gdwg	天命
ggsv	一概
ghee	正月
gkum	事端
gqty	列入
gxwx	毒化
gxwy	素食
gxwx	严丝合缝
gxwy	互信
hagh	鬳
hggr	鬬
ifit	海南省
ifwy	瀖
ifyt	法庭
ifwy	法令
ifyt	潮州
igxf	湿
ihyf	小计
ihyt	
ijij	漫漫
imwn	涔
ipgj	常理
itdq	鋈
itrh	少年
itud	海关
ituq	海盗
itud	洗头
iywu	淤
iyww	游人
jagg	昙花一现
jeiy	暖流
jjgg	蜵
jjou	焸
jpkk	监视器
jqnn	蚫
jten	蜏
kdpy	哒
kdth	呖
kdud	顺着
kdth	顺延
kdud	顺差
khal	嚧
kham	唬
khbb	路子
kkft	口才
kkfn	哭声
kkft	患者
kkkf	啴
kkkk	叽叽喳喳
kklk	嘼
kkmw	
ktfn	响声
ktfh	响起
ktkf	咯吱
jqfh	昂起
kqnn	史书
kqrn	吹气
kqnn	咆
kqrn	唿
lffg	畦
lkgk	加速
lwyu	罖
mdnt	峸
mqfn	风声
mqgf	网球
mtdj	峤
mtfg	败坏
mtjk	飐
mtyt	几许
musf	嶟
ngut	悟道
ngyo	刁蛮
nhdv	娤
nkuy	璧
nkuy	譬
nkuv	劈
nnxe	局级
nnyg	书评
nnyg	羽
nulj	憎
oywb	粮仓
pfrn	寒气
pgqm	寳
pgwt	写作
pgwf	宣传
pgwt	富余
pgwf	安理会
punh	实收
pusk	袔
pwfa	穿戴
pwqg	窎
qggd	鲸吞
qgnf	鳚
qguq	鲛
qgug	
qheg	錹
qkks	鐰
qmcy	鈠
qnkl	饯别
qqsc	针锋相对
qqyv	狼狈为奸
qqyy	钓
qtfp	铤
rart	拱手
raqt	擏
rart	撒手
rcyn	瓟
rfdj	擩
rffh	扶起
rfmi	质
ripe	哲学家
ripq	搅
rpwt	擦伤
rqtd	捣乱
rriq	白光
rrjj	摇摇晃晃
rtdh	捀
rtpt	扬长补短
rvfc	挪动
gtnh	琁
